createWindow,electron-app.js
rel,artifacts/map_project_functions.js
register,artifacts/map_project_functions.js
isHeading,artifacts/wrap_recursive.js
wrapSections,artifacts/wrap_recursive.js
testNavigationComponent,test/navigation.test.js
sanitizePath,test/auto/dev-utils.js
sanitizePath,test/auto/test-all-routes.js
discoverRoutes,test/auto/dev-utils.js
discoverRoutes,test/auto/watch-routes.js
testRoute,test/auto/dev-utils.js
testRoute,test/auto/test-all-routes.js
testRoute,test/auto/watch-routes.js
runOneTimeTest,test/auto/dev-utils.js
runLiveWatcher,test/auto/dev-utils.js
promptMode,test/auto/dev-utils.js
runTests,test/auto/watch-routes.js
startWatcher,test/auto/watch-routes.js
testBigQueryConnection,test/manual/test-bigquery-connection.js
resizeCanvas,public/js/main.js
resizeCanvas,public/js/modules/chats.js
getGradientColor,public/js/main.js
getGradientColor,public/js/modules/chats.js
getTemperatureColor,public/js/main.js
getTemperatureColor,public/js/modules/chats.js
drawGpuChart,public/js/main.js
drawCpuChart,public/js/main.js
updateUI,public/js/main.js
navigateTo,public/js/navigation.js
navigateTo,public/js/components/navigation.js
closeWindow,public/js/navigation.js
toggleNavMenu,public/js/navigation.js
toggleNavMenu,public/js/components/navigation.js
navigateToBigQuery,public/js/navigation.js
setupRoutes,server/routes/index.js
getCpuInfo,server/utils/hardware-info.js
getGpuInfo,server/utils/hardware-info.js
getMemoryInfo,server/utils/hardware-info.js
generateMockDatasetStats,server/utils/mock-data.js
generateDatasetList,server/utils/mock-data.js
generateQueryMetrics,server/utils/mock-data.js
createApiRouter,server/utils/route-template.js
flushSubsection,1Deprecated/artifacts/test/orig.wrap_selection.v1_2025-04-23_16-19.js
flushSection,1Deprecated/artifacts/test/orig.wrap_selection_2025-04-23_16-14.js
flushSub,1Deprecated/artifacts/test/wrap_nested.js
flushMain,1Deprecated/artifacts/test/wrap_nested.js
createNavigationMenu,public/js/components/navigation.js
renderMenuItems,public/js/components/navigation.js
checkIfActive,public/js/components/navigation.js
setupDropdowns,public/js/components/navigation.js
restoreDropdownStates,public/js/components/navigation.js
initNavMenuState,public/js/components/navigation.js
getActivePageId,public/js/components/navigation.js
randomInt,server/utils/bigquery/mock-data-generator.js
randomBytes,server/utils/bigquery/mock-data-generator.js
generateMockProjects,server/utils/bigquery/mock-data-generator.js
generateMockDatasets,server/utils/bigquery/mock-data-generator.js
generateMockQueryStats,server/utils/bigquery/mock-data-generator.js
generateMockProjectStats,server/utils/bigquery/mock-data-generator.js
buildTree,server/utils/svg/scanner.js
createDatasetPanelUI,public/js/bigquery/controllers/dataset-controller.js
setupEventListeners,public/js/bigquery/controllers/dataset-controller.js
setupEventListeners,public/js/bigquery/controllers/project-controller.js
setupEventListeners,public/js/bigquery/controllers/query-controller.js
handleProjectSelected,public/js/bigquery/controllers/dataset-controller.js
handleProjectSelected,public/js/bigquery/controllers/query-controller.js
fetchDatasets,public/js/bigquery/controllers/dataset-controller.js
renderDatasets,public/js/bigquery/controllers/dataset-controller.js
drawDatasetsChart,public/js/bigquery/controllers/dataset-controller.js
startPolling,public/js/bigquery/controllers/dataset-controller.js
startPolling,public/js/bigquery/controllers/query-controller.js
handleSettingsChanged,public/js/bigquery/controllers/dataset-controller.js
handleSettingsChanged,public/js/bigquery/controllers/project-controller.js
handleSettingsChanged,public/js/bigquery/controllers/query-controller.js
updateTimestamp,public/js/bigquery/controllers/dataset-controller.js
updateTimestamp,public/js/bigquery/controllers/project-controller.js
updateTimestamp,public/js/bigquery/controllers/query-controller.js
loadSettings,public/js/bigquery/controllers/dataset-controller.js
loadSettings,public/js/bigquery/controllers/index.js
loadSettings,public/js/bigquery/controllers/project-controller.js
loadSettings,public/js/bigquery/controllers/query-controller.js
setupPanelControls,public/js/bigquery/controllers/index.js
setupSettingsPanel,public/js/bigquery/controllers/index.js
saveSettings,public/js/bigquery/controllers/index.js
createProjectPanelUI,public/js/bigquery/controllers/project-controller.js
loadProjects,public/js/bigquery/controllers/project-controller.js
renderProjects,public/js/bigquery/controllers/project-controller.js
selectProject,public/js/bigquery/controllers/project-controller.js
updateDataSourceIndicator,public/js/bigquery/controllers/project-controller.js
updateServiceAccountInfo,public/js/bigquery/controllers/project-controller.js
createQueryPanelUI,public/js/bigquery/controllers/query-controller.js
fetchQueryStats,public/js/bigquery/controllers/query-controller.js
updateQueryStats,public/js/bigquery/controllers/query-controller.js
drawQueryChart,public/js/bigquery/controllers/query-controller.js
handleResize,public/js/bigquery/controllers/query-controller.js
loadSets,public/js/interview/controllers/interview-controller.js
renderSets,public/js/interview/controllers/interview-controller.js
renderQuestion,public/js/interview/controllers/interview-controller.js
populateForm,public/js/interview/controllers/interview-controller.js
updateNavState,public/js/interview/controllers/interview-controller.js
goNext,public/js/interview/controllers/interview-controller.js
goPrev,public/js/interview/controllers/interview-controller.js
saveQuestion,public/js/interview/controllers/interview-controller.js
addQuestion,public/js/interview/controllers/interview-controller.js
deleteQuestion,public/js/interview/controllers/interview-controller.js
buildTreeHtml,public/js/svg/controllers/svg-controller.js
